"","YEAR","YEAR_SCALED","SPECIES","STATION_ID","LATITUDE","LONGITUDE","SIZE","MATURE"
"1",1989,-1.36856515793535,"SNOW","B-05",6152.55740631411,866.167977064256,79,1
"2",1989,-1.36856515793535,"SNOW","B-05",6152.55740631411,866.167977064256,101,1
"3",1989,-1.36856515793535,"SNOW","D-18",6209.80798815244,673.342066308613,68,1
"4",1989,-1.36856515793535,"SNOW","D-18",6209.80798815244,673.342066308613,62,0
"5",1989,-1.36856515793535,"SNOW","D-18",6209.80798815244,673.342066308613,78,1
"6",1989,-1.36856515793535,"SNOW","D-18",6209.80798815244,673.342066308613,101,1
"7",1989,-1.36856515793535,"SNOW","D-18",6209.80798815244,673.342066308613,117,1
"8",1989,-1.36856515793535,"SNOW","D-18",6209.80798815244,673.342066308613,101,1
"9",1989,-1.36856515793535,"SNOW","D-18",6209.80798815244,673.342066308613,118,1
"10",1989,-1.36856515793535,"SNOW","D-18",6209.80798815244,673.342066308613,101,1
"11",1989,-1.36856515793535,"SNOW","D-18",6209.80798815244,673.342066308613,98,1
"12",1989,-1.36856515793535,"SNOW","D-18",6209.80798815244,673.342066308613,75,1
"13",1989,-1.36856515793535,"SNOW","D-18",6209.80798815244,673.342066308613,108,1
"14",1989,-1.36856515793535,"SNOW","D-18",6209.80798815244,673.342066308613,96,1
"15",1989,-1.36856515793535,"SNOW","E-03",6254.39766960526,783.864744592124,79,1
"16",1989,-1.36856515793535,"SNOW","E-03",6254.39766960526,783.864744592124,66,0
"17",1989,-1.36856515793535,"SNOW","E-03",6254.39766960526,783.864744592124,72,1
"18",1989,-1.36856515793535,"SNOW","E-18",6246.47129164748,669.939297409848,109,1
"19",1989,-1.36856515793535,"SNOW","E-18",6246.47129164748,669.939297409848,82,1
"20",1989,-1.36856515793535,"SNOW","E-18",6246.47129164748,669.939297409848,81,1
"21",1989,-1.36856515793535,"SNOW","E-18",6246.47129164748,669.939297409848,79,1
"22",1989,-1.36856515793535,"SNOW","E-18",6246.47129164748,669.939297409848,87,1
"23",1989,-1.36856515793535,"SNOW","E-18",6246.47129164748,669.939297409848,80,1
"24",1989,-1.36856515793535,"SNOW","E-18",6246.47129164748,669.939297409848,88,1
"25",1989,-1.36856515793535,"SNOW","E-18",6246.47129164748,669.939297409848,78,1
"26",1989,-1.36856515793535,"SNOW","E-18",6246.47129164748,669.939297409848,99,0
"27",1989,-1.36856515793535,"SNOW","E-18",6246.47129164748,669.939297409848,73,1
"28",1989,-1.36856515793535,"SNOW","F-01",6285.41980886352,704.532378066341,94,1
"29",1989,-1.36856515793535,"SNOW","F-01",6285.41980886352,704.532378066341,103,1
"30",1989,-1.36856515793535,"SNOW","F-18",6282.72689975405,666.278071994541,83,0
"31",1989,-1.36856515793535,"SNOW","F-18",6282.72689975405,666.278071994541,68,1
"32",1989,-1.36856515793535,"SNOW","F-18",6282.72689975405,666.278071994541,93,1
"33",1989,-1.36856515793535,"SNOW","F-18",6282.72689975405,666.278071994541,68,1
"34",1989,-1.36856515793535,"SNOW","F-18",6282.72689975405,666.278071994541,90,1
"35",1989,-1.36856515793535,"SNOW","F-18",6282.72689975405,666.278071994541,104,1
"36",1989,-1.36856515793535,"SNOW","F-18",6282.72689975405,666.278071994541,74,1
"37",1989,-1.36856515793535,"SNOW","F-18",6282.72689975405,666.278071994541,101,1
"38",1989,-1.36856515793535,"SNOW","F-18",6282.72689975405,666.278071994541,89,1
"39",1989,-1.36856515793535,"SNOW","F-18",6282.72689975405,666.278071994541,114,1
"40",1989,-1.36856515793535,"SNOW","F-18",6282.72689975405,666.278071994541,96,0
"41",1989,-1.36856515793535,"SNOW","F-20",6282.79015260011,591.923647032493,65,1
"42",1989,-1.36856515793535,"SNOW","F-22",6278.76515594454,516.508379462357,75,1
"43",1989,-1.36856515793535,"SNOW","F-22",6278.76515594454,516.508379462357,118,1
"44",1989,-1.36856515793535,"SNOW","F-22",6278.76515594454,516.508379462357,81,1
"45",1989,-1.36856515793535,"SNOW","F-22",6278.76515594454,516.508379462357,58,0
"46",1989,-1.36856515793535,"SNOW","F-22",6278.76515594454,516.508379462357,61,1
"47",1989,-1.36856515793535,"SNOW","F-22",6278.76515594454,516.508379462357,79,1
"48",1989,-1.36856515793535,"SNOW","F-24",6278.86908511514,439.614470905506,91,1
"49",1989,-1.36856515793535,"SNOW","G-01",6324.05668692569,699.417334216209,71,0
"50",1989,-1.36856515793535,"SNOW","G-01",6324.05668692569,699.417334216209,83,1
"51",1989,-1.36856515793535,"SNOW","G-01",6324.05668692569,699.417334216209,71,1
"52",1989,-1.36856515793535,"SNOW","G-01",6324.05668692569,699.417334216209,83,1
"53",1989,-1.36856515793535,"SNOW","G-03",6327.51260400478,775.263702804226,58,1
"54",1989,-1.36856515793535,"SNOW","G-03",6327.51260400478,775.263702804226,58,1
"55",1989,-1.36856515793535,"SNOW","G-03",6327.51260400478,775.263702804226,75,1
"56",1989,-1.36856515793535,"SNOW","G-03",6327.51260400478,775.263702804226,69,1
"57",1989,-1.36856515793535,"SNOW","G-03",6327.51260400478,775.263702804226,76,0
"58",1989,-1.36856515793535,"SNOW","G-03",6327.51260400478,775.263702804226,61,1
"59",1989,-1.36856515793535,"SNOW","G-03",6327.51260400478,775.263702804226,64,1
"60",1989,-1.36856515793535,"SNOW","G-03",6327.51260400478,775.263702804226,61,1
"61",1989,-1.36856515793535,"SNOW","G-03",6327.51260400478,775.263702804226,71,1
"62",1989,-1.36856515793535,"SNOW","G-03",6327.51260400478,775.263702804226,70,1
"63",1989,-1.36856515793535,"SNOW","G-03",6327.51260400478,775.263702804226,81,1
"64",1989,-1.36856515793535,"SNOW","G-03",6327.51260400478,775.263702804226,95,1
"65",1989,-1.36856515793535,"SNOW","G-03",6327.51260400478,775.263702804226,62,0
"66",1989,-1.36856515793535,"SNOW","G-03",6327.51260400478,775.263702804226,92,1
"67",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,76,1
"68",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,80,0
"69",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,66,0
"70",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,80,0
"71",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,97,1
"72",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,80,1
"73",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,78,1
"74",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,95,1
"75",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,95,1
"76",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,82,1
"77",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,97,1
"78",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,101,1
"79",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,114,1
"80",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,116,1
"81",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,78,1
"82",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,89,1
"83",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,101,0
"84",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,113,1
"85",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,105,1
"86",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,86,1
"87",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,104,1
"88",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,70,1
"89",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,92,1
"90",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,98,0
"91",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,105,1
"92",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,104,1
"93",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,75,1
"94",1989,-1.36856515793535,"SNOW","G-18",6321.67818194023,661.419876309301,72,0
"95",1989,-1.36856515793535,"SNOW","G-23",6317.34008024428,476.687447945272,63,1
"96",1989,-1.36856515793535,"SNOW","G-23",6317.34008024428,476.687447945272,101,1
"97",1989,-1.36856515793535,"SNOW","G-23",6317.34008024428,476.687447945272,105,0
"98",1989,-1.36856515793535,"SNOW","G-23",6317.34008024428,476.687447945272,84,1
"99",1989,-1.36856515793535,"SNOW","G-23",6317.34008024428,476.687447945272,100,1
"100",1989,-1.36856515793535,"SNOW","G-23",6317.34008024428,476.687447945272,69,1
"101",1989,-1.36856515793535,"SNOW","G-23",6317.34008024428,476.687447945272,97,1
"102",1989,-1.36856515793535,"SNOW","G-23",6317.34008024428,476.687447945272,81,1
"103",1989,-1.36856515793535,"SNOW","G-23",6317.34008024428,476.687447945272,60,1
"104",1989,-1.36856515793535,"SNOW","G-23",6317.34008024428,476.687447945272,85,1
"105",1989,-1.36856515793535,"SNOW","G-23",6317.34008024428,476.687447945272,58,1
"106",1989,-1.36856515793535,"SNOW","G-23",6317.34008024428,476.687447945272,63,1
"107",1989,-1.36856515793535,"SNOW","G-23",6317.34008024428,476.687447945272,77,1
"108",1989,-1.36856515793535,"SNOW","G-23",6317.34008024428,476.687447945272,109,1
"109",1989,-1.36856515793535,"SNOW","H-02",6360.7339399587,732.046168028903,96,1
"110",1989,-1.36856515793535,"SNOW","H-02",6360.7339399587,732.046168028903,82,0
"111",1989,-1.36856515793535,"SNOW","H-02",6360.7339399587,732.046168028903,105,1
"112",1989,-1.36856515793535,"SNOW","H-02",6360.7339399587,732.046168028903,98,0
"113",1989,-1.36856515793535,"SNOW","H-02",6360.7339399587,732.046168028903,72,1
"114",1989,-1.36856515793535,"SNOW","H-02",6360.7339399587,732.046168028903,63,1
"115",1989,-1.36856515793535,"SNOW","H-02",6360.7339399587,732.046168028903,77,1
"116",1989,-1.36856515793535,"SNOW","H-02",6360.7339399587,732.046168028903,99,1
"117",1989,-1.36856515793535,"SNOW","H-02",6360.7339399587,732.046168028903,114,1
"118",1989,-1.36856515793535,"SNOW","H-02",6360.7339399587,732.046168028903,101,1
"119",1989,-1.36856515793535,"SNOW","H-02",6360.7339399587,732.046168028903,97,1
"120",1989,-1.36856515793535,"SNOW","H-03",6371.384869061,770.872170358059,90,0
"121",1989,-1.36856515793535,"SNOW","H-03",6371.384869061,770.872170358059,92,0
"122",1989,-1.36856515793535,"SNOW","H-03",6371.384869061,770.872170358059,93,0
"123",1989,-1.36856515793535,"SNOW","H-03",6371.384869061,770.872170358059,99,0
"124",1989,-1.36856515793535,"SNOW","H-03",6371.384869061,770.872170358059,87,0
"125",1989,-1.36856515793535,"SNOW","H-03",6371.384869061,770.872170358059,92,0
"126",1989,-1.36856515793535,"SNOW","H-03",6371.384869061,770.872170358059,93,0
"127",1989,-1.36856515793535,"SNOW","H-03",6371.384869061,770.872170358059,90,0
"128",1989,-1.36856515793535,"SNOW","H-03",6371.384869061,770.872170358059,96,0
"129",1989,-1.36856515793535,"SNOW","H-03",6371.384869061,770.872170358059,99,0
"130",1989,-1.36856515793535,"SNOW","H-03",6371.384869061,770.872170358059,78,0
"131",1989,-1.36856515793535,"SNOW","H-03",6371.384869061,770.872170358059,99,0
"132",1989,-1.36856515793535,"SNOW","H-03",6371.384869061,770.872170358059,82,0
"133",1989,-1.36856515793535,"SNOW","H-03",6371.384869061,770.872170358059,58,0
"134",1989,-1.36856515793535,"SNOW","H-24",6355.52545488833,432.797056575645,106,1
"135",1989,-1.36856515793535,"SNOW","H-24",6355.52545488833,432.797056575645,122,1
"136",1989,-1.36856515793535,"SNOW","H-24",6355.52545488833,432.797056575645,95,0
"137",1989,-1.36856515793535,"SNOW","H-24",6355.52545488833,432.797056575645,94,1
"138",1989,-1.36856515793535,"SNOW","I-01",6399.51165128738,693.705693444985,93,0
"139",1989,-1.36856515793535,"SNOW","I-01",6399.51165128738,693.705693444985,97,1
"140",1989,-1.36856515793535,"SNOW","I-01",6399.51165128738,693.705693444985,76,0
"141",1989,-1.36856515793535,"SNOW","I-01",6399.51165128738,693.705693444985,94,1
"142",1989,-1.36856515793535,"SNOW","I-01",6399.51165128738,693.705693444985,81,0
"143",1989,-1.36856515793535,"SNOW","I-01",6399.51165128738,693.705693444985,111,1
"144",1989,-1.36856515793535,"SNOW","I-01",6399.51165128738,693.705693444985,77,0
"145",1989,-1.36856515793535,"SNOW","I-01",6399.51165128738,693.705693444985,85,1
