"","YEAR","SPECIES","REGION","DISTRICT","SIZE_5MM","PROP_MATURE","PROP_MATURE_SD","PROP_MATURE_LOGIT","PROP_MATURE_LOGIT_SD","NUM_MATURE","NUM_IMMATURE","TOTAL_CRAB","INTERPOLATED"
"1",1989,"SNOW","EBS","ALL",17.5,5.34212774364175e-06,6.04584099873766e-06,-12.7440901290751,1.17648446371271,1.60263832309253e-05,2.99998397361677,3,"N"
"2",1989,"SNOW","EBS","ALL",22.5,0.000743104011122677,0.00089364474571767,-8.63008514512404,1.89934108991165,0.0185776002780669,24.9814223997219,25,"N"
"3",1989,"SNOW","EBS","ALL",27.5,0.000929858306564635,0.000813374305591562,-7.38740919689105,0.919970627845858,0.0408270097088414,43.8658729902912,43.9067,"N"
"4",1989,"SNOW","EBS","ALL",32.5,0.00229644283861758,0.0018474238156993,-6.44164816389149,0.873091136002936,0.759927381941137,330.155072618059,330.915,"N"
"5",1989,"SNOW","EBS","ALL",37.5,0.010931339840426,0.00464023392650651,-4.58980097881775,0.412790024834852,26.1015034680943,2361.66649653191,2387.768,"N"
"6",1989,"SNOW","EBS","ALL",42.5,0.030133381849849,0.00687328413934068,-3.49704538814302,0.23323365020153,265.242684362977,8537.04461563702,8802.2873,"N"
"7",1989,"SNOW","EBS","ALL",47.5,0.0524627303276173,0.00885179321305558,-2.90667626593953,0.16761440010602,484.463961677927,8749.97653832207,9234.4405,"N"
"8",1989,"SNOW","EBS","ALL",52.5,0.115068510553678,0.0221681565774556,-2.05861352694219,0.221697340309462,1021.22557472441,7853.70962527559,8874.9352,"N"
"9",1989,"SNOW","EBS","ALL",57.5,0.207402596970685,0.0306116427640954,-1.35111008514612,0.190054402066833,1858.90511323276,7103.88098676724,8962.7861,"N"
"10",1989,"SNOW","EBS","ALL",62.5,0.270436677251476,0.0327777974109085,-0.998968239059523,0.169201150684235,2477.35941308843,6683.23018691157,9160.5896,"N"
"11",1989,"SNOW","EBS","ALL",67.5,0.291625931499142,0.0290675850449746,-0.891738477203419,0.142592820063402,3156.38888965309,7667.02751034691,10823.4164,"N"
