"","YEAR","SPECIES","REGION","DISTRICT","SIZE_5MM","PROP_MATURE","PROP_MATURE_SD","PROP_MATURE_LOGIT","PROP_MATURE_LOGIT_SD","NUM_MATURE","NUM_IMMATURE","TOTAL_CRAB","INTERPOLATED"
"1",1990,"TANNER","EBS","ALL",17.5,0.0010078058725195,0.00152470337915454,-8.47061040355398,2.09599642278562,0.00302341761755849,2.99697658238244,3,"N"
"2",1990,"TANNER","EBS","ALL",22.5,0.000901089047104122,0.00122827103795125,-8.13052561104883,1.63539763327818,0.0108130685652495,11.9891869314347,12,"N"
"3",1990,"TANNER","EBS","ALL",27.5,0.00110347310586535,0.00119287900713995,-7.38966872268959,1.15290301519506,0.0550281071906041,49.8130718928094,49.8681,"N"
"4",1990,"TANNER","EBS","ALL",32.5,0.00206389843906176,0.00205169205971096,-6.64893783823738,1.00217355357045,0.433375330335749,209.545624669664,209.979,"N"
"5",1990,"TANNER","EBS","ALL",37.5,0.0026286046642446,0.00215268431140932,-6.28978556958837,0.883468559081271,0.970321548596453,368.169078451403,369.1394,"N"
"6",1990,"TANNER","EBS","ALL",42.5,0.00469068501093606,0.0032988443377322,-5.63829970573048,0.787998095366317,3.2998467148639,700.189453285136,703.4893,"N"
"7",1990,"TANNER","EBS","ALL",47.5,0.0074800984162976,0.00434427078741711,-5.05933500082756,0.599818261779214,4.10278910074874,544.391210899251,548.494,"N"
"8",1990,"TANNER","EBS","ALL",52.5,0.0102314473246266,0.0041798883049218,-4.64467921816083,0.374886776164776,4.48979747876883,434.333502521231,438.8233,"N"
"9",1990,"TANNER","EBS","ALL",57.5,0.0139605458239465,0.00364832522191442,-4.28739722914254,0.241921133890683,10.7379101786017,758.423289821398,769.1612,"N"
"10",1990,"TANNER","EBS","ALL",62.5,0.0175157112467215,0.00333633205130214,-4.04374832158181,0.184189279287419,12.6123577856009,707.447342214399,720.0597,"N"
"11",1990,"TANNER","EBS","ALL",67.5,0.0248289794350609,0.0035685415479629,-3.68103847682217,0.149431240316428,13.4850259264443,529.631374073556,543.1164,"N"
"12",1990,"TANNER","EBS","ALL",72.5,0.0385405110093087,0.00591987435113828,-3.2281017117198,0.156690010882897,26.216600652366,654.018299347634,680.2349,"N"
"13",1990,"TANNER","EBS","ALL",77.5,0.0681836012763693,0.012023377533459,-2.62908759958974,0.178999190423258,46.5523333163607,636.197366683639,682.7497,"N"
"14",1990,"TANNER","EBS","ALL",82.5,0.124181154987022,0.0150202914054046,-1.96075224572053,0.140945790573274,88.3180720608125,622.885427939187,711.2035,"N"
"15",1990,"TANNER","EBS","ALL",87.5,0.229145732350193,0.0288073891476943,-1.22138218453625,0.174868943236074,140.695502577592,473.304597422408,614.0001,"N"
"16",1990,"TANNER","EBS","ALL",92.5,0.294054496462981,0.0293651424755032,-0.880301727284682,0.14684147086467,154.81295853979,371.66414146021,526.4771,"N"
"17",1990,"TANNER","EBS","ALL",97.5,0.309409071047778,0.0240944899590035,-0.805522712370169,0.116259393012207,161.588206654746,360.659593345254,522.2478,"N"
"18",1990,"TANNER","EBS","ALL",102.5,0.31718961307976,0.0257274944086051,-0.769595110919713,0.123221861390245,186.213870066071,400.860429933929,587.0743,"N"
"19",1990,"TANNER","EBS","ALL",107.5,0.388776405922982,0.0204102718856003,-0.453332982114559,0.0868234472540339,182.144273221556,286.362226778444,468.5065,"N"
"20",1990,"TANNER","EBS","ALL",112.5,0.484036152524265,0.0187390652356771,-0.0639535456091056,0.0750702912190055,201.603332496273,214.901367503727,416.5047,"N"
"21",1990,"TANNER","EBS","ALL",117.5,0.619925106810992,0.0151471009373697,0.48974659821028,0.0648037919360977,278.842313043584,170.957686956416,449.8,"N"
"22",1990,"TANNER","EBS","ALL",122.5,0.697538147495248,0.0156573573387846,0.836703705760313,0.0747190183409038,310.386688412624,134.587811587376,444.9745,"N"
"23",1990,"TANNER","EBS","ALL",127.5,0.737154661171966,0.014791296326285,1.03260677178717,0.0764616973938784,345.864710889681,123.324089110319,469.1888,"N"
"24",1990,"TANNER","EBS","ALL",132.5,0.769130249555338,0.0196358480116322,1.20653006262067,0.108400167844884,353.790146841286,106.197153158714,459.9873,"N"
"25",1990,"TANNER","EBS","ALL",137.5,0.850266294142663,0.0199745176666305,1.74511090685019,0.155531970053269,373.12303807166,65.7077619283399,438.8308,"N"
"26",1990,"TANNER","EBS","ALL",142.5,0.922993330165639,0.0160460038564284,2.50908761088515,0.25412797309665,247.502968967241,20.6495310327585,268.1525,"N"
"27",1990,"TANNER","EBS","ALL",147.5,0.977831675074006,0.00651108947001329,3.85123080179821,0.405519721066255,254.596664274674,5.77193572532616,260.3686,"N"
"28",1990,"TANNER","EBS","ALL",152.5,0.988789725553364,0.00477158132915478,4.62958269648801,0.634127673775636,179.733000566643,2.03769943335715,181.7707,"N"
