"","YEAR","SIZE_BIN","PROP_MATURE"
"179",1995,122.5,0.941079326006273
"180",1995,127.5,0.963451276893127
"181",1995,132.5,0.977733238278437
"182",1995,147.5,0.995216131291172
"183",1996,12.5,0
"184",1996,17.5,0
"185",1996,22.5,0
"186",1996,27.5,0
"187",1996,32.5,0
"188",1996,37.5,0
"189",1996,42.5,0
"190",1996,47.5,0
"191",1996,52.5,0
"192",1996,57.5,0
"193",1996,62.5,0
"194",1996,67.5,0.117674892914072
"195",1996,72.5,0.132974053543507
"196",1996,77.5,0.165475966106503
"197",1996,82.5,0.217700545439531
"198",1996,87.5,0.290163690139604
"199",1996,92.5,0.381128681382763
"200",1996,97.5,0.486696284571492
"201",1996,102.5,0.600772551398628
"202",1996,107.5,0.715222012773963
"203",1996,112.5,0.816978233999892
"204",1996,117.5,0.894572448584023
"205",1996,122.5,0.944682078489389
"206",1996,127.5,0.972621508446073
"207",1996,132.5,0.986764371086707
"208",1997,12.5,0
"209",1997,17.5,0
"210",1997,22.5,0
"211",1997,27.5,0
"212",1997,32.5,0
"213",1997,37.5,0
"214",1997,42.5,0
"215",1997,47.5,0
"216",1997,52.5,0
"217",1997,57.5,0
"218",1997,62.5,0
"219",1997,67.5,0.106677318724413
"220",1997,72.5,0.0942249652916904
"221",1997,77.5,0.0947585233338124
"222",1997,82.5,0.107026751816412
"223",1997,87.5,0.131916258715508
"224",1997,92.5,0.171726188067332
"225",1997,97.5,0.228169083376684
"226",1997,102.5,0.301231027604199
"227",1997,107.5,0.388079292744037
"228",1997,112.5,0.483227870394812
"229",1997,117.5,0.580199934025444
"230",1997,122.5,0.672207920584713
"231",1997,127.5,0.753804979278997
"232",1997,132.5,0.821502715692673
"233",1997,137.5,0.874291160872988
"234",1997,152.5,0.960424589453515
"235",1998,7.5,2.69260431292408e-12
"236",1998,12.5,1.29646952007571e-08
"237",1998,17.5,2.07871299442305e-05
"238",1998,22.5,0.00649074406575975
"239",1998,27.5,0
"240",1998,32.5,0
"241",1998,37.5,0
"242",1998,42.5,0
"243",1998,47.5,0
"244",1998,52.5,0
"245",1998,57.5,0
"246",1998,62.5,0
"247",1998,67.5,0.0765614858671402
"248",1998,72.5,0.103191787887357
"249",1998,77.5,0.144961187010736
"250",1998,82.5,0.19766837398939
"251",1998,87.5,0.263055809410394
"252",1998,92.5,0.350199972910078
"253",1998,97.5,0.476499191152164
"254",1998,102.5,0.63330563002593
"255",1998,107.5,0.775165596881826
"256",1998,112.5,0.865799060131011
"257",1998,117.5,0.906112838250721
"258",1998,122.5,0.913642135742778
"259",1998,127.5,0.894034097247239
"260",1998,132.5,0.847164292896723
"261",1998,137.5,0.794550590697075
"262",1998,142.5,0.79192598971807
"263",1998,147.5,0.87727687747812
"264",1999,17.5,0
"265",1999,22.5,0
"266",1999,27.5,0
"267",1999,32.5,0
"268",1999,37.5,0
"269",1999,42.5,0
"270",1999,47.5,0
"271",1999,52.5,0
"272",1999,57.5,0
"273",1999,62.5,0
"274",1999,67.5,0.114561467854806
"275",1999,72.5,0.122462002907866
"276",1999,77.5,0.143202947907537
"277",1999,82.5,0.18161175611525
"278",1999,87.5,0.244289848152432
"279",1999,92.5,0.337017211198144
"280",1999,97.5,0.457876124322433
"281",1999,102.5,0.592353103564918
"282",1999,107.5,0.717655107570715
"283",1999,112.5,0.817031634001863
"284",1999,117.5,0.886776578906264
"285",1999,122.5,0.931959177618055
"286",1999,127.5,0.959935658180237
"287",1999,132.5,0.976772309669839
"288",1999,137.5,0.986711387566535
