k,AIC,logLik
13,48675.96013,-23660.6586
15,48676.52066,-23675.14071
12,48676.56829,-23698.07155
6,48717.41888,-23701.86807
10,48675.87762,-23705.78751
11,48677.24633,-23714.02574
14,48676.00946,-23731.46009
9,48673.70515,-23732.86157
8,48678.63253,-23751.06016
7,48711.28514,-23772.81631
5,48783.29147,-23784.49748
4,48932.80447,-23875.42745
