"","SPECIES","DISTRICT","SIZE","YEAR","REGION","A_EST","A_SE","B_EST","B_SE","PROP_MATURE"
"59","TANNER","W166",20,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00458407215138518
"60","TANNER","E166",20,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.000984794450989066
"61","TANNER","ALL",21,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00511400032237111
"62","TANNER","W166",21,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00492669211408768
"63","TANNER","E166",21,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00105833233263291
"64","TANNER","ALL",22,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00542534135223101
"65","TANNER","W166",22,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00529478375922712
"66","TANNER","E166",22,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00113735528108994
"67","TANNER","ALL",23,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00575552721219268
"68","TANNER","W166",23,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00569021964727241
"69","TANNER","E166",23,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00122227144992357
"70","TANNER","ALL",24,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00610568479479924
"71","TANNER","W166",24,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00611500673415708
"72","TANNER","E166",24,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00131351921416825
"73","TANNER","ALL",25,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00647700665706703
"74","TANNER","W166",25,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.006571295510466
"75","TANNER","E166",25,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0014115693848281
"76","TANNER","ALL",26,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00687075463060271
"77","TANNER","W166",26,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00706138968282513
"78","TANNER","E166",26,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00151692758203909
"79","TANNER","ALL",27,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00728826360276861
"80","TANNER","W166",27,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00758775641684423
"81","TANNER","E166",27,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.0016301367777003
"82","TANNER","ALL",28,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00773094547339319
"83","TANNER","W166",28,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00815303715934598
"84","TANNER","E166",28,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00175178001902599
"85","TANNER","ALL",29,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00820029329110672
"86","TANNER","W166",29,1990,"EBS",0.07242433,0.005386361,94.29234,1.1661731,0.00876005905545813
"87","TANNER","E166",29,1990,"EBS",0.07209035,0.006293141,116.01968,1.3749107,0.00188248334514153
"88","TANNER","ALL",30,1990,"EBS",0.05941187,0.004382892,109.71369,1.4089144,0.00869788557286486
