"","Year","directedfish_biomass","bin","prop_mature_weighted","prop_mature_weighted_kg","prop_mature_unweighted","survey_abundance","lag1_survey_abundance","lag2_survey_abundance","lag3_survey_abundance","survey_biomass","lag1_survey_biomass","lag2_survey_biomass","lag3_survey_biomass","MarApr_ice"
"1",1989,73.4,"Large",0.750760019666454,0.761431499886846,0.789915966386555,4.92983813076784,NA,NA,NA,4.05094127636202,NA,NA,NA,-1.3967033689454
"2",1989,73.4,"Small",0.124599953456808,0.129633986932162,0.301980198019802,6.42220377151944,NA,NA,NA,4.00013771094016,NA,NA,NA,-1.3967033689454
"3",1990,149.1,"Large",0.327459396384616,0.331368703365538,0.532951289398281,5.94604085374714,4.92983813076784,NA,NA,5.06043190271833,4.05094127636202,NA,NA,0.488636708542037
"4",1990,149.1,"Small",0.0648287382071944,0.0689494925262574,0.159509202453988,6.17466108782148,6.42220377151944,NA,NA,3.73611556323688,4.00013771094016,NA,NA,0.488636708542037
"5",1991,143,"Large",0.403572011419891,0.419217151050959,0.603485838779956,4.98285176568502,5.94604085374714,4.92983813076784,NA,4.09094152801434,5.06043190271833,4.05094127636202,NA,0.946419113321091
"6",1991,143,"Small",0.066126476946775,0.0717624148995034,0.168704156479218,6.53725127749414,6.17466108782148,6.42220377151944,NA,4.08141872367354,3.73611556323688,4.00013771094016,NA,0.946419113321091
"7",1992,104.7,"Large",0.722000327170504,0.735021263853145,0.734848484848485,4.19348081419855,4.98285176568502,5.94604085374714,4.92983813076784,3.34515894934342,4.09094152801434,5.06043190271833,4.05094127636202,1.25647101464918
"8",1992,104.7,"Small",0.251008161925914,0.252431566607814,0.279742765273312,5.70751424101817,6.53725127749414,6.17466108782148,6.42220377151944,3.29160959399127,4.08141872367354,3.73611556323688,4.00013771094016,1.25647101464918
"9",1993,67.94,"Large",0.845578792449356,0.852985839305927,0.829457364341085,3.81647246589252,4.19348081419855,4.98285176568502,5.94604085374714,2.97506147420961,3.34515894934342,4.09094152801434,5.06043190271833,0.126074342178652
"10",1993,67.94,"Small",0.12948159230499,0.134717317370196,0.434210526315789,6.81951916035236,5.70751424101817,6.53725127749414,6.17466108782148,4.34283426604926,3.29160959399127,4.08141872367354,3.73611556323688,0.126074342178652
"11",1994,34.13,"Large",0.562425017243077,0.578827763866854,0.581395348837209,3.11816588345118,3.81647246589252,4.19348081419855,4.98285176568502,2.30702743191913,2.97506147420961,3.34515894934342,4.09094152801434,0.929472774071015
"12",1994,34.13,"Small",0.178075081886274,0.188218013070888,0.239669421487603,6.81159367026439,6.81951916035236,5.70751424101817,6.53725127749414,4.35225616378405,4.34283426604926,3.29160959399127,4.08141872367354,0.929472774071015
"13",1995,29.81,"Large",0.604367191452769,0.614420392762368,0.726415094339623,4.07866810280068,3.11816588345118,3.81647246589252,4.19348081419855,3.20527540848497,2.30702743191913,2.97506147420961,3.34515894934342,1.15548812949864
"14",1995,29.81,"Small",0.130885714650005,0.136264324093326,0.195278969957082,6.93852886184366,6.81159367026439,6.81951916035236,5.70751424101817,4.49846004475304,4.35225616378405,4.34283426604926,3.29160959399127,1.15548812949864
"15",1996,54.22,"Large",0.591973287498905,0.61174165845875,0.70873786407767,5.05033481347555,4.07866810280068,3.11816588345118,3.81647246589252,4.16249429479475,3.20527540848497,2.30702743191913,2.97506147420961,-0.934723545375024
"16",1996,54.22,"Small",0.107137466484258,0.0993473164152148,0.242857142857143,6.22071583703042,6.93852886184366,6.81159367026439,6.81951916035236,3.81472365778423,4.49846004475304,4.35225616378405,4.34283426604926,-0.934723545375024
"17",1997,114.4,"Large",0.573833227871238,0.583656825913112,0.621399176954732,4.73620386073788,5.05033481347555,4.07866810280068,3.11816588345118,3.86505401095444,4.16249429479475,3.20527540848497,2.30702743191913,0.41691874415435
"18",1997,114.4,"Small",0.139411989431209,0.138804092362945,0.254416961130742,5.0263171751379,6.22071583703042,6.93852886184366,6.81159367026439,2.6631599968464,3.81472365778423,4.49846004475304,4.35225616378405,0.41691874415435
"19",1998,88.09,"Large",0.678868884247082,0.693524569365455,0.706878306878307,4.4814081479437,4.73620386073788,5.05033481347555,4.07866810280068,3.62077659414228,3.86505401095444,4.16249429479475,3.20527540848497,0.0611585112174157
"20",1998,88.09,"Small",0.16693065115978,0.166778908718892,0.25062656641604,4.89414683627382,5.0263171751379,6.22071583703042,6.93852886184366,2.50865177263075,2.6631599968464,3.81472365778423,4.49846004475304,0.0611585112174157
"21",1999,15.1,"Large",0.67112209120369,0.681421195031802,0.74468085106383,2.81260021169268,4.4814081479437,4.73620386073788,5.05033481347555,2.01304921889114,3.62077659414228,3.86505401095444,4.16249429479475,0.866618495088666
"22",1999,15.1,"Small",0.19421681998795,0.20245360353425,0.246621621621622,4.49976173516167,4.89414683627382,5.0263171751379,6.22071583703042,2.15207782944043,2.50865177263075,2.6631599968464,3.81472365778423,0.866618495088666
"23",2000,11.46,"Large",0.81341882474333,0.827853320325221,0.824742268041237,2.21766064674613,2.81260021169268,4.4814081479437,4.73620386073788,1.47992129500348,2.01304921889114,3.62077659414228,3.86505401095444,-0.153682863351578
"24",2000,11.46,"Small",0.124520638624696,0.132440627276774,0.247226624405705,5.49640697428386,4.49976173516167,4.89414683627382,5.0263171751379,3.04382195130495,2.15207782944043,2.50865177263075,2.6631599968464,-0.153682863351578
"25",2001,14.8,"Large",0.715852166098437,0.725510650032137,0.696969696969697,3.33002176859698,2.21766064674613,2.81260021169268,4.4814081479437,2.49327393650378,1.47992129500348,2.01304921889114,3.62077659414228,-0.920636165456268
"26",2001,14.8,"Small",0.110331546814752,0.112776379859838,0.250764525993884,6.02566781516389,5.49640697428386,4.49976173516167,4.89414683627382,3.61197984951169,3.04382195130495,2.15207782944043,2.50865177263075,-0.920636165456268
"27",2002,12.84,"Large",0.582369517441732,0.608772671973844,0.642045454545455,3.64424077276044,3.33002176859698,2.21766064674613,2.81260021169268,2.79132724751784,2.49327393650378,1.47992129500348,2.01304921889114,-0.50466483928388
"28",2002,12.84,"Small",0.10599046093581,0.117212160824229,0.31,4.68636757763344,6.02566781516389,5.49640697428386,4.49976173516167,2.33775751136616,3.61197984951169,3.04382195130495,2.15207782944043,-0.50466483928388
"29",2003,10.86,"Large",0.463917597867511,0.48348765715975,0.529182879377432,3.51880510947283,3.64424077276044,3.33002176859698,2.21766064674613,2.66970099848883,2.79132724751784,2.49327393650378,1.47992129500348,-0.527060622924934
"30",2003,10.86,"Small",0.1744236285277,0.180751113311888,0.262857142857143,5.1164509397094,4.68636757763344,6.02566781516389,5.49640697428386,2.70301606404638,2.33775751136616,3.61197984951169,3.04382195130495,-0.527060622924934
"31",2004,11.29,"Large",0.604023787765935,0.614768690181395,0.6484375,2.88300772557851,3.51880510947283,3.64424077276044,3.33002176859698,2.08365073389464,2.66970099848883,2.79132724751784,2.49327393650378,-0.220223605386105
