"","SPECIES","SIZE","YEAR","REGION","DISTRICT","A_EST","A_SE","B_EST","B_SE","PROP_MATURE"
"52","SNOW",56,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.0558772744143151
"53","SNOW",61,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.0784771729691686
"54","SNOW",66,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.109160878689743
"55","SNOW",71,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.149890204517576
"56","SNOW",76,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.202364079245466
"57","SNOW",81,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.267429195493677
"58","SNOW",86,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.344382065425949
"59","SNOW",91,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.430466559877539
"60","SNOW",96,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.52097038963909
"61","SNOW",101,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.610118283557952
"62","SNOW",106,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.692469110172884
"63","SNOW",111,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.764149756453309
"64","SNOW",116,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.823384087350329
"65","SNOW",121,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.870267279438084
"66","SNOW",126,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.906124110102931
"67","SNOW",131,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.932835331192337
"68","SNOW",136,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.952345916121421
"69","SNOW",141,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.966393079203663
"70","SNOW",146,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.976402112203488
"71","SNOW",151,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.983481143917033
"72","SNOW",156,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.988461661611798
"73","SNOW",161,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.991952815352016
"74","SNOW",166,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.994393642325448
"75","SNOW",171,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.996097044280214
"76","SNOW",176,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.997284308277054
"77","SNOW",181,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.998111096041155
"78","SNOW",186,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.998686501191685
"79","SNOW",191,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.99908678459713
"80","SNOW",196,1990,"EBS","ALL",0.07277573,0.008755984,94.84672,1.8774647,0.999365160809646
"81","SNOW",1,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.000156922586560938
"82","SNOW",6,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.000247903251574273
"83","SNOW",11,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.000391612077123086
"84","SNOW",16,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.00061857696426127
"85","SNOW",21,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.000976954331700517
"86","SNOW",26,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.00154263991514665
"87","SNOW",31,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.00243507587190456
"88","SNOW",36,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.00384181035213297
"89","SNOW",41,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.00605627648805274
"90","SNOW",46,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.00953496998886266
"91","SNOW",51,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.0149816888558366
"92","SNOW",56,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.0234660557849222
"93","SNOW",61,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.0365768351366358
"94","SNOW",66,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.0565882922117569
"95","SNOW",71,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.0865644404132312
"96","SNOW",76,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.130227725818809
"97","SNOW",81,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.191302370871254
"98","SNOW",86,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.272060619571847
"99","SNOW",91,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.371259830155708
"100","SNOW",96,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.482647229891848
"101","SNOW",101,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.595786211915015
"102","SNOW",106,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.69958341985013
"103","SNOW",111,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.786287673693836
"104","SNOW",116,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.853218280642043
"105","SNOW",121,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.901805245165073
"106","SNOW",126,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.935524542437443
"107","SNOW",131,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.958201581916516
"108","SNOW",136,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.973131813916792
"109","SNOW",141,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.98282461752345
"110","SNOW",146,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.989060014405311
"111","SNOW",151,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.99304770912971
"112","SNOW",156,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.995588347064501
"113","SNOW",161,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.997203151826409
"114","SNOW",166,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.998227938931712
"115","SNOW",171,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.998877658614639
"116","SNOW",176,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.99928933055618
"117","SNOW",181,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.999550070301247
"118","SNOW",186,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.999715173688934
"119","SNOW",191,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.999819702698575
"120","SNOW",196,1991,"EBS","ALL",0.09147539,0.012890991,96.7591,1.7496379,0.999885874765376
"121","SNOW",1,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.00292952689623267
"122","SNOW",6,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.00415213573871487
"123","SNOW",11,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.00588197813226859
"124","SNOW",16,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.00832647323635934
"125","SNOW",21,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.0117748446931893
"126","SNOW",26,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.0166273982594867
"127","SNOW",31,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.0234323286774751
"128","SNOW",36,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.0329289880818241
"129","SNOW",41,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.046092796702261
"130","SNOW",46,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.0641698296197062
"131","SNOW",51,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.0886773898189446
"132","SNOW",56,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.121331293495014
"133","SNOW",61,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.163847580016027
"134","SNOW",66,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.217573125877356
"135","SNOW",71,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.282953805831723
"136","SNOW",76,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.358967624495642
"137","SNOW",81,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.442791889956281
"138","SNOW",86,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.530006383597054
"139","SNOW",91,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.615426072359692
"140","SNOW",96,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.69427616910304
"141","SNOW",101,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.763180530111546
"142","SNOW",106,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.820568715741141
"143","SNOW",111,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.866483058916079
"144","SNOW",116,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.902050904052592
"145","SNOW",121,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.928921008287373
"146","SNOW",126,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.948837986866889
"147","SNOW",131,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.963393974737885
"148","SNOW",136,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.973922489342857
"149","SNOW",141,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.981481033901603
"150","SNOW",146,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.986878258016367
"151","SNOW",151,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.990717375549531
"152","SNOW",156,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.99344072186997
"153","SNOW",161,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.995368824802882
"154","SNOW",166,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.996732025368224
"155","SNOW",171,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.997694892939212
"156","SNOW",176,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.998374526359612
"157","SNOW",181,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.99885400811005
"158","SNOW",186,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.999192166914443
"159","SNOW",191,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.999430598843384
"160","SNOW",196,1992,"EBS","ALL",0.07000177,0.006038387,84.28333,1.3990401,0.999598685854932
"161","SNOW",1,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.00224818278226517
"162","SNOW",6,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.00338077997119107
"163","SNOW",11,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.00508105513474724
"164","SNOW",16,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.0076298928497051
"165","SNOW",21,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.0114426129876999
"166","SNOW",26,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.0171276973002874
"167","SNOW",31,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.0255642840462441
"168","SNOW",36,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.03799583149253
"169","SNOW",41,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.0561244738749671
"170","SNOW",46,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.0821639357342365
"171","SNOW",51,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.118764503316318
"172","SNOW",56,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.168672854485281
"173","SNOW",61,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.23398543256407
"174","SNOW",66,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.315005150951026
"175","SNOW",71,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.409096336655917
"176","SNOW",76,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.510352938149459
"177","SNOW",81,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.610767062753483
"178","SNOW",86,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.702589127319963
"179","SNOW",91,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.78053343376801
"180","SNOW",96,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.842625947550372
"181","SNOW",101,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.889634947045676
"182","SNOW",106,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.923870612505801
"183","SNOW",111,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.948105731289102
"184","SNOW",116,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.964918769332905
"185","SNOW",121,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.976420086241052
"186","SNOW",126,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.984212411913
"187","SNOW",131,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.98945745374543
"188","SNOW",136,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.992972400395887
"189","SNOW",141,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.995320985032074
"190","SNOW",146,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.996887146287381
"191","SNOW",151,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.997930171748891
"192","SNOW",156,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.99862419247197
"193","SNOW",161,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.999085718796845
"194","SNOW",166,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.999392516376635
"195","SNOW",171,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.999596406085522
"196","SNOW",176,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.999731882656825
"197","SNOW",181,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.999821891171247
"198","SNOW",186,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.999881686892278
"199","SNOW",191,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.9999214092277
"200","SNOW",196,1993,"EBS","ALL",0.081824,0.008058921,75.49382,1.3667858,0.999947795918567
"201","SNOW",1,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.00391115979774489
"202","SNOW",6,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.0054363063205265
"203","SNOW",11,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.0075516709201817
"204","SNOW",16,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.0104814871976488
"205","SNOW",21,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.0145313390195615
"206","SNOW",26,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.0201141705114085
"207","SNOW",31,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.027781417479262
"208","SNOW",36,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.0382572066331173
"209","SNOW",41,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.0524700061602349
"210","SNOW",46,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.0715700198456822
"211","SNOW",51,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.0969116634198169
"212","SNOW",56,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.12997019699292
"213","SNOW",61,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.172155941740688
"214","SNOW",66,1994,"EBS","ALL",0.06615964,0.005924545,84.73689,1.5363862,0.224501110464943
