"","YEAR","SPECIES","DISTRICT","SIZE_5MM","PROP_MATURE_mean","PROP_MATURE_lo","PROP_MATURE_hi"
"1",1990,"TANNER","E166",17.5,0.000376986096171964,3.34305897616033e-06,0.00249100982768196
"2",1990,"TANNER","E166",22.5,0.000500053292161545,8.49265583170472e-06,0.00331479052850206
"3",1990,"TANNER","E166",27.5,0.000696808666759891,1.63443828608065e-05,0.00393825678174267
"4",1990,"TANNER","E166",32.5,0.000973572672757964,5.15864938788358e-05,0.00495096696318013
"5",1990,"TANNER","E166",37.5,0.0020028261672995,0.000162399009161035,0.00826445992162977
"6",1990,"TANNER","E166",42.5,0.00328019780935839,0.000421457324574837,0.0122228077350736
"7",1990,"TANNER","E166",47.5,0.00556579096945654,0.000963459313128964,0.0180603128245254
"8",1990,"TANNER","E166",52.5,0.00548664594666987,0.00173304012571571,0.0136815843893631
"9",1990,"TANNER","E166",57.5,0.0105702283546448,0.00392703269685368,0.0272297061546504
"10",1990,"TANNER","E166",62.5,0.0182771037919007,0.00787023308093059,0.0379699745487293
"11",1990,"TANNER","E166",67.5,0.0216810127363911,0.0102807311012071,0.0427745749827063
"12",1990,"TANNER","E166",72.5,0.0358129294756963,0.0178827033507671,0.0726047104296688
"13",1990,"TANNER","E166",77.5,0.0448264816598612,0.0269651001741474,0.0677939868912367
"14",1990,"TANNER","E166",82.5,0.0794923176203844,0.0556373783941353,0.107108205050864
"15",1990,"TANNER","E166",87.5,0.14789702643965,0.109940918136179,0.193209653571914
"16",1990,"TANNER","E166",92.5,0.185594563861341,0.140049637255974,0.236937762196287
"17",1990,"TANNER","E166",97.5,0.208979601577624,0.157818288755025,0.265636914244584
"18",1990,"TANNER","E166",102.5,0.240665035656806,0.182934031586521,0.306788997433523
"19",1990,"TANNER","E166",107.5,0.312757827985582,0.26476337902008,0.359553202626273
"20",1990,"TANNER","E166",112.5,0.42439647799885,0.356777324656041,0.487344394566815
"21",1990,"TANNER","E166",117.5,0.569583274698132,0.493833178765175,0.631670848292595
"22",1990,"TANNER","E166",122.5,0.647055763869071,0.582931494844223,0.697545666137728
"23",1990,"TANNER","E166",127.5,0.685821659049374,0.626677395066669,0.73695960482944
"24",1990,"TANNER","E166",132.5,0.744108499783895,0.691144532584642,0.789884815361677
"25",1990,"TANNER","E166",137.5,0.826150661160802,0.782308460714343,0.866193307924127
"26",1990,"TANNER","E166",142.5,0.915308557952274,0.874237469957563,0.945786650404051
"27",1990,"TANNER","E166",147.5,0.971562193093494,0.941092601161102,0.988422299608208
"28",1990,"TANNER","E166",152.5,0.980073129090592,0.944981377269131,0.994318584167305
"29",1990,"TANNER","E166",157.5,0.989289695488307,0.960524855872311,0.998249564785141
"30",1990,"TANNER","E166",162.5,0.995440000081154,0.979498402422202,0.999577704506598
"31",1990,"TANNER","E166",167.5,0.997536573950324,0.985281471804218,0.999866090275931
"32",1990,"TANNER","E166",172.5,0.998967366183625,0.993092229196056,0.999968466397696
"33",1990,"TANNER","E166",177.5,0.999330138054701,0.995025331965614,0.999990232171457
"34",1990,"TANNER","E166",182.5,0.999643370480897,0.997112500251538,0.999997053230312
"35",1990,"TANNER","W166",17.5,0.000465648712972552,4.58239069914773e-06,0.00278057639543085
"36",1990,"TANNER","W166",22.5,0.00101051545563816,2.48342722256328e-05,0.00442584125105347
"37",1990,"TANNER","W166",27.5,0.00133754735476442,5.9559642850154e-05,0.00572744130577277
"38",1990,"TANNER","W166",32.5,0.0021522713753891,0.000161738366041399,0.00765975572950202
"39",1990,"TANNER","W166",37.5,0.00321014934293279,0.000399180246238214,0.0112661644128436
"40",1990,"TANNER","W166",42.5,0.00516717429241246,0.00101904708848988,0.0149031522570411
"41",1990,"TANNER","W166",47.5,0.0101379856728759,0.00286537837915339,0.0262147646660545
"42",1990,"TANNER","W166",52.5,0.0123965758840476,0.00488347797904155,0.030063537773147
"43",1990,"TANNER","W166",57.5,0.0213598861685653,0.0104615524053568,0.0419249559313032
"44",1990,"TANNER","W166",62.5,0.0306734500990809,0.0169715549380819,0.0562662175499305
"45",1990,"TANNER","W166",67.5,0.0522334612836015,0.0223965187343805,0.114227800041147
"46",1990,"TANNER","W166",72.5,0.0593286490006664,0.0349384941182859,0.0996804113867352
"47",1990,"TANNER","W166",77.5,0.0751251892211899,0.0509373490742138,0.113205588807821
"48",1990,"TANNER","W166",82.5,0.1469889818883,0.0962128402477788,0.23853450961498
"49",1990,"TANNER","W166",87.5,0.227847382592746,0.166672438986365,0.306149457522315
"50",1990,"TANNER","W166",92.5,0.306881574117437,0.23719725252185,0.400686662031156
"51",1990,"TANNER","W166",97.5,0.354010032924489,0.265097939936756,0.455426454504232
"52",1990,"TANNER","W166",102.5,0.357093143035166,0.251352355658744,0.483529308953113
"53",1990,"TANNER","W166",107.5,0.410846820283182,0.296497133631321,0.544631008067879
"54",1990,"TANNER","W166",112.5,0.491460125736616,0.355131968957906,0.638042549500427
"55",1990,"TANNER","W166",117.5,0.57426819289802,0.411238576022068,0.741985571576701
"56",1990,"TANNER","W166",122.5,0.681781311334527,0.497660262659952,0.842398279688365
"57",1990,"TANNER","W166",127.5,0.756437778884701,0.589210046546541,0.88378463929958
"58",1990,"TANNER","W166",132.5,0.821867874634568,0.661708667319107,0.923909150425227
"59",1990,"TANNER","W166",137.5,0.897259655798649,0.762459217522329,0.96809762146285
"60",1990,"TANNER","W166",142.5,0.957109019421462,0.90694470389817,0.985883388627479
"61",1990,"TANNER","W166",147.5,0.981224263771487,0.940619469505162,0.996543663107488
