"","YEAR","SPECIES","DISTRICT","SIZE_5MM","PROP_MATURE_mean","PROP_MATURE_lo","PROP_MATURE_hi"
"1",1989,"SNOW","ALL",17.5,5.54186142606649e-05,3.9512834380516e-07,0.000297686937704896
"2",1989,"SNOW","ALL",22.5,0.000915002810434865,3.70428175764833e-05,0.00532995862271076
"3",1989,"SNOW","ALL",27.5,0.00243363865263853,0.000253386111653978,0.0112244793731457
"4",1989,"SNOW","ALL",32.5,0.00166537848036632,0.000387698875811626,0.00529180732646964
"5",1989,"SNOW","ALL",37.5,0.00552153476551715,0.00226424082190916,0.0122527910620111
"6",1989,"SNOW","ALL",42.5,0.0207268321741946,0.0118127897254578,0.0373173665169306
"7",1989,"SNOW","ALL",47.5,0.0595586490517658,0.0358790419404046,0.0953106415078773
"8",1989,"SNOW","ALL",52.5,0.128230390440491,0.0815116517691783,0.196393829671779
"9",1989,"SNOW","ALL",57.5,0.20234008853786,0.141137517672404,0.284433463450224
"10",1989,"SNOW","ALL",62.5,0.2583024727849,0.183448707852912,0.344299929078868
"11",1989,"SNOW","ALL",67.5,0.289735099159798,0.214145002175273,0.373352318913878
"12",1989,"SNOW","ALL",72.5,0.313727774816255,0.240770124703349,0.394217503081866
"13",1989,"SNOW","ALL",77.5,0.324888727771063,0.257988921717354,0.397691403202761
"14",1989,"SNOW","ALL",82.5,0.312499123400665,0.252133418174792,0.37707258281395
"15",1989,"SNOW","ALL",87.5,0.312868360335086,0.24797056236908,0.38785539045068
"16",1989,"SNOW","ALL",92.5,0.368795406829261,0.300276491531883,0.462742744593318
"17",1989,"SNOW","ALL",97.5,0.513913828314801,0.425291007917996,0.613806405715832
"18",1989,"SNOW","ALL",102.5,0.677501702967297,0.587299189399733,0.759347721742712
"19",1989,"SNOW","ALL",107.5,0.843599808400333,0.78706944859279,0.893197557714529
"20",1989,"SNOW","ALL",112.5,0.905106045380871,0.857065214771731,0.938165475078116
"21",1989,"SNOW","ALL",117.5,0.929874704283766,0.892183740786944,0.954963259954555
"22",1989,"SNOW","ALL",122.5,0.94777014230125,0.906483371918936,0.97255737482392
"23",1989,"SNOW","ALL",127.5,0.97244609130341,0.939781148775297,0.988980748476383
"24",1989,"SNOW","ALL",132.5,0.98873603555935,0.962360261176549,0.997719891717593
"25",1989,"SNOW","ALL",137.5,0.987220493458329,0.944179003982458,0.998951851876611
