"","SPECIES","REGION","DISTRICT","YEAR","SIZE_BIN","NUM_IMMATURE","NUM_MATURE","TOTAL_CRAB","PROP_MATURE","PROP_MATURE_SD","LOGIT","LOGIT_SD","N_CHELA"
"1","TANNER","EBS","ALL",1990,17.5,2.9975510751563,0.00244892484369966,3,0.000816308281233219,0.00360173514672776,-8.77808075700576,1.70231600334668,2
"2","TANNER","EBS","ALL",1990,22.5,11.9890816633027,0.010918336697268,12,0.000909861391439004,0.00244733823988256,-8.14555315431325,1.5008828983194,1
"3","TANNER","EBS","ALL",1990,27.5,49.8031378186625,0.0649621813375186,49.8681,0.00130268009684585,0.00255978858867251,-7.47261257712681,1.28400272213224,9
"4","TANNER","EBS","ALL",1990,32.5,209.497840340388,0.481159659611548,209.979,0.0022914656209028,0.0031384237739385,-6.64903068723082,1.07245170839114,42
"5","TANNER","EBS","ALL",1990,37.5,368.037294215775,1.10210578422459,369.1394,0.00298560864601447,0.00311960066239898,-6.19338622847546,0.878565245670352,63
"6","TANNER","EBS","ALL",1990,42.5,700.128875366545,3.36042463345533,703.4893,0.00477679565766718,0.0038132246289527,-5.58717544007029,0.71118135415191,106
"7","TANNER","EBS","ALL",1990,47.5,543.981892422307,4.51210757769328,548.494,0.00822635722121533,0.00505295108629556,-4.95130711824781,0.57262570054931,55
"8","TANNER","EBS","ALL",1990,52.5,433.355500329094,5.46779967090607,438.8233,0.0124601398123255,0.00524408909813402,-4.45285743597711,0.405744682707938,28
"9","TANNER","EBS","ALL",1990,57.5,755.484014936042,13.6771850639576,769.1612,0.0177819487825927,0.00472756642539445,-4.04641358549216,0.269814318516396,59
"10","TANNER","EBS","ALL",1990,62.5,703.45148679975,16.6082132002498,720.0597,0.0230650503010372,0.00541694305400324,-3.77269553642072,0.235422860302564,68
"11","TANNER","EBS","ALL",1990,67.5,525.827235074597,17.2891649254028,543.1164,0.0318332588104553,0.00735043491272763,-3.44074224550727,0.234747405521377,54
"12","TANNER","EBS","ALL",1990,72.5,648.552936029226,31.6819639707736,680.2349,0.046575034551702,0.00957656917673022,-3.03936311809168,0.211279034523959,63
"13","TANNER","EBS","ALL",1990,77.5,629.134533605334,53.6151663946661,682.7497,0.0785282899350466,0.0130586750734996,-2.476225238667,0.180840899782475,78
"14","TANNER","EBS","ALL",1990,82.5,612.611137368657,98.5923626313432,711.2035,0.138627499205703,0.019249973438236,-1.83605239270682,0.16072712944261,76
"15","TANNER","EBS","ALL",1990,87.5,458.013575936506,155.986524063494,614.0001,0.254049672082291,0.0281632526162751,-1.08243084272328,0.147456224546299,102
"16","TANNER","EBS","ALL",1990,92.5,353.765410046838,172.711689953162,526.4771,0.328051666355787,0.0294217390997824,-0.720024689321466,0.133288753237326,95
"17","TANNER","EBS","ALL",1990,97.5,341.755384066212,180.492415933788,522.2478,0.345606847810155,0.0302117812937479,-0.641135105536145,0.133740975108046,86
"18","TANNER","EBS","ALL",1990,102.5,371.649595829452,215.424704170548,587.0743,0.366946235204894,0.0317261187300539,-0.547815248063168,0.137051164994837,90
"19","TANNER","EBS","ALL",1990,107.5,263.260491633796,205.246008366204,468.5065,0.438085722111014,0.0327713140643918,-0.250026979722924,0.133666596002462,63
"20","TANNER","EBS","ALL",1990,112.5,197.396153153504,219.108546846496,416.5047,0.526065004420109,0.0353150843972571,0.104871925293398,0.142352395539061,59
"21","TANNER","EBS","ALL",1990,117.5,157.03396655087,292.76603344913,449.8,0.650880465649467,0.0338570337000025,0.626264634991932,0.149568077834093,56
"22","TANNER","EBS","ALL",1990,122.5,123.881586739002,321.092913260998,444.9745,0.721598458475705,0.0297744595626507,0.95725609770379,0.148381456317648,73
"23","TANNER","EBS","ALL",1990,127.5,109.851474577688,359.337325422312,469.1888,0.765869358821677,0.0277382405054299,1.19151217767841,0.155189745343188,64
"24","TANNER","EBS","ALL",1990,132.5,92.5554513530718,367.431848646928,459.9873,0.798786941828455,0.0245292167553187,1.3856662023857,0.152637690252801,76
"25","TANNER","EBS","ALL",1990,137.5,54.2401201647166,384.590679835283,438.8308,0.876398556881795,0.0200367319015488,1.97134195083148,0.182847209069453,67
"26","TANNER","EBS","ALL",1990,142.5,16.9797066088218,251.172793391178,268.1525,0.936678917374174,0.013958907599209,2.71765699450837,0.232232762940579,61
"27","TANNER","EBS","ALL",1990,147.5,4.98465462375037,255.38394537625,260.3686,0.980855392609745,0.00838055424442904,4.02229172065536,0.421555349336415,39
"28","TANNER","EBS","ALL",1990,152.5,1.8615686856557,179.909131314344,181.7707,0.989758697712801,0.00522515422816258,4.76452253698367,0.633633343813569,40
"29","TANNER","EBS","ALL",1990,157.5,0.589471977123168,133.029328022877,133.6188,0.995588405395624,0.00225081357366112,5.80524707262547,0.88909807130041,50
"30","TANNER","EBS","ALL",1990,162.5,0.140630095611897,74.8032699043881,74.9439,0.998123528457794,0.000957383439900819,6.86260702951639,1.09587191699883,31
"31","TANNER","EBS","ALL",1990,167.5,0.0665996061764531,68.3138003938235,68.3804,0.99902604245988,0.000496917112306336,7.80853357927427,1.32630505208323,36
"32","TANNER","EBS","ALL",1990,172.5,0.0128297144354477,34.9573702855646,34.9702,0.999633124362015,0.000187181447951297,9.1473331508308,1.58367953949929,17
"33","TANNER","EBS","ALL",1990,177.5,0.00261578936750162,9.9973842106325,10,0.99973842106325,0.000133458641199062,9.893791202886,1.81045208525938,4
"34","TANNER","EBS","ALL",1990,182.5,0.00040639778235585,2.99959360221764,3,0.999864534072548,6.91152691081377e-05,10.6066635182569,1.85537052531227,2
"35","TANNER","EBS","ALL",1991,22.5,170.190313698394,0.353086301606333,170.5434,0.0020703603986219,0.00531824120742594,-7.50416256904738,1.60416946436776,1
"36","TANNER","EBS","ALL",1991,27.5,110.670400952603,0.220799047396841,110.8912,0.00199113227557138,0.00368687369112296,-7.09987060656263,1.31960296154478,8
"37","TANNER","EBS","ALL",1991,32.5,279.905873978769,0.60812602123096,280.514,0.00216789900408165,0.00319570324788253,-6.7662099952544,1.12250636266728,22
"38","TANNER","EBS","ALL",1991,37.5,139.856079752874,0.44322024712554,140.2993,0.00315910519243888,0.00357205621206157,-6.17635129428385,0.91868716955506,13
"39","TANNER","EBS","ALL",1991,42.5,437.709096509305,2.51160349069534,440.2207,0.00570532801091666,0.00519196401381599,-5.44879375496565,0.757965623238654,26
"40","TANNER","EBS","ALL",1991,47.5,862.879878749292,4.30442125070816,867.1843,0.00496367525416242,0.00308436009196437,-5.46332025019384,0.572279667376125,21
"41","TANNER","EBS","ALL",1991,52.5,606.572713581516,7.41048641848418,613.9832,0.0120695263624219,0.00508001238576943,-4.48684265947443,0.410125917308435,32
"42","TANNER","EBS","ALL",1991,57.5,377.502819656116,12.6707803438837,390.1736,0.0324747249529023,0.00992747775273915,-3.43846499001257,0.306399806539046,42
"43","TANNER","EBS","ALL",1991,62.5,291.168346639851,13.0173533601494,304.1857,0.0427941003148714,0.0113875902957199,-3.14091580670622,0.26825874861568,35
"44","TANNER","EBS","ALL",1991,67.5,317.574776894328,14.0851231056723,331.6599,0.0424685743005781,0.00843957598959634,-3.13499612129294,0.206009893818865,45
"45","TANNER","EBS","ALL",1991,72.5,442.643000312044,21.3445996879557,463.9876,0.0460025218086771,0.00772888790268117,-3.04586545568775,0.174996875349616,73
"46","TANNER","EBS","ALL",1991,77.5,594.023853082525,39.8223469174745,633.8462,0.0628265136202986,0.00916812815725997,-2.71301988664193,0.155343206304017,126
"47","TANNER","EBS","ALL",1991,82.5,630.970657339103,75.3234426608971,706.2941,0.106646002934043,0.0122679427459786,-2.1320041333619,0.129099708804167,131
