"","YEAR","SPECIES","DISTRICT","SIZE_5MM","PROP_MATURE_mean","VAR_total","PROP_MATURE_sd","PROP_MATURE_lo","PROP_MATURE_hi"
"1",1990,"TANNER","E166",17.5,0.000320195040986561,6.94254715685631e-07,0.00083321948830163,-0.00131291515608463,0.00195330523805776
"2",1990,"TANNER","E166",22.5,0.000453876111702968,1.00347961898391e-06,0.00100173829865086,-0.00150953095365271,0.00241728317705865
"3",1990,"TANNER","E166",27.5,0.000520700391721927,9.63204755949665e-07,0.000981429954683301,-0.00140290231945734,0.0024443031029012
"4",1990,"TANNER","E166",32.5,0.000816777434002582,1.2735254882124e-06,0.00112850586538679,-0.00139509406215553,0.0030286489301607
"5",1990,"TANNER","E166",37.5,0.00182495607985757,4.21321231768343e-06,0.00205261109752516,-0.00219816167129174,0.00584807383100688
"6",1990,"TANNER","E166",42.5,0.00283551568957741,6.97656153044328e-06,0.00264131814260291,-0.0023414678699243,0.00801249924907911
"7",1990,"TANNER","E166",47.5,0.0045861679290863,1.50383332086282e-05,0.00387792898447459,-0.00301457288048391,0.0121869087386565
"8",1990,"TANNER","E166",52.5,0.00725403703649736,1.56647855861851e-05,0.00395787639854823,-0.00050340070465717,0.0150114747776519
"9",1990,"TANNER","E166",57.5,0.0108002953732944,2.24742320615771e-05,0.00474069953293573,0.00150852428874034,0.0200920664578484
"10",1990,"TANNER","E166",62.5,0.014064674782934,3.10827967557223e-05,0.00557519477289559,0.00313729302805867,0.0249920565378094
"11",1990,"TANNER","E166",67.5,0.0173465605269764,3.30038392493431e-05,0.0057448968005825,0.00608656279783473,0.0286065582561181
"12",1990,"TANNER","E166",72.5,0.0297648701130555,8.84388924557353e-05,0.00940419547094462,0.011332646990004,0.0481970932361069
"13",1990,"TANNER","E166",77.5,0.045158170670361,0.000158506475015734,0.012589935465114,0.0204818971587376,0.0698344441819843
"14",1990,"TANNER","E166",82.5,0.0860092623076532,0.000313481623597238,0.0177054122684912,0.0513066542614105,0.120711870353896
"15",1990,"TANNER","E166",87.5,0.163144529151292,0.000769468947369302,0.0277393032963934,0.108775494690361,0.217513563612223
"16",1990,"TANNER","E166",92.5,0.192178449793738,0.000765739956057647,0.0276720067226366,0.137941316617371,0.246415582970106
"17",1990,"TANNER","E166",97.5,0.215576226865772,0.000840821824671016,0.0289969278488432,0.158742248282039,0.272410205449505
"18",1990,"TANNER","E166",102.5,0.243124588399921,0.000963709050198447,0.0310436636078677,0.182279007728501,0.303970169071342
"19",1990,"TANNER","E166",107.5,0.318376238593143,0.00092355396432568,0.0303900306733258,0.258811778473424,0.377940698712861
"20",1990,"TANNER","E166",112.5,0.407471714351135,0.00133516138853851,0.0365398602698274,0.335853588222274,0.479089840479997
"21",1990,"TANNER","E166",117.5,0.559895849425384,0.00143752983006689,0.0379147706054895,0.485582899038625,0.634208799812144
"22",1990,"TANNER","E166",122.5,0.629486373660795,0.00112767610279724,0.0335808889518613,0.563667831315147,0.695304916006443
"23",1990,"TANNER","E166",127.5,0.670715778794955,0.0012578345071399,0.0354659626563259,0.601202491988556,0.740229065601353
"24",1990,"TANNER","E166",132.5,0.723815811851631,0.000931056067396206,0.0305132113582987,0.664009917589366,0.783621706113896
"25",1990,"TANNER","E166",137.5,0.818342580071342,0.000782763655225801,0.0279779137039523,0.763505869211595,0.873179290931088
"26",1990,"TANNER","E166",142.5,0.914661505730965,0.000373832939879211,0.0193347598867742,0.876765376352888,0.952557635109043
"27",1990,"TANNER","E166",147.5,0.974337433633429,0.000128650146881346,0.0113424048103277,0.952106320205187,0.996568547061672
"28",1990,"TANNER","E166",152.5,0.985617582400661,9.18316346546793e-05,0.00958288237717021,0.966835132941408,1.00440003185992
"29",1990,"TANNER","E166",157.5,0.993729664942555,4.11463263167613e-05,0.00641454022645126,0.981157166098711,1.0063021637864
"30",1990,"TANNER","E166",162.5,0.997429474970029,1.3228809565593e-05,0.0036371430499216,0.990300674592183,1.00455827534788
"31",1990,"TANNER","E166",167.5,0.998735268273962,6.75502812299403e-06,0.00259904369393707,0.993641142633845,1.00382939391408
"32",1990,"TANNER","E166",172.5,0.999536655786899,1.3751560412884e-06,0.00117267047429719,0.997238221657276,1.00183508991652
"33",1990,"TANNER","E166",177.5,0.999711957818037,8.57831258954935e-07,0.000926191804625227,0.997896621880972,1.0015272937551
"34",1990,"TANNER","E166",182.5,0.999808768451426,5.64558986947654e-07,0.00075137140413224,0.998336080499327,1.00128145640353
"35",1990,"TANNER","W166",17.5,0.000653929542520703,8.17187855976659e-06,0.00285864977913815,-0.00494902402459007,0.00625688310963147
"36",1990,"TANNER","W166",22.5,0.00102721825250821,7.1811095461775e-06,0.00267975923287475,-0.00422510984392631,0.00627954634894273
"37",1990,"TANNER","W166",27.5,0.00157847491648541,8.35273876710992e-06,0.00289011051122789,-0.00408614168552125,0.00724309151849207
"38",1990,"TANNER","W166",32.5,0.00241207400599021,1.09858559536427e-05,0.00331449180925865,-0.00408432994015675,0.00890847795213717
"39",1990,"TANNER","W166",37.5,0.0031141133686089,1.13864426685071e-05,0.00337438033844839,-0.00349967209474994,0.00972789883196774
"40",1990,"TANNER","W166",42.5,0.00518408374143831,1.80620817090677e-05,0.00424995078901717,-0.00314581980503534,0.013513987287912
"41",1990,"TANNER","W166",47.5,0.00853928386620294,3.02875266937262e-05,0.00550341046022611,-0.00224740063584023,0.0193259683682461
"42",1990,"TANNER","W166",52.5,0.0127523594656972,3.95630805694138e-05,0.00628991896366032,0.000424118296922963,0.0250806006344714
"43",1990,"TANNER","W166",57.5,0.0193453703607296,2.74022977495169e-05,0.00523472040796039,0.00908531836112729,0.029605422360332
"44",1990,"TANNER","W166",62.5,0.0266333579542544,4.16387377455739e-05,0.0064528085161094,0.01398585326268,0.0392808626458288
"45",1990,"TANNER","W166",67.5,0.0386550596336074,0.000127453401975209,0.0112895262068525,0.0165275882681765,0.0607825309990383
"46",1990,"TANNER","W166",72.5,0.0510487932633163,0.000139625118382409,0.0118163073073786,0.0278888309408542,0.0742087555857784
"47",1990,"TANNER","W166",77.5,0.0944058398256845,0.000320408458743878,0.0178999569481012,0.059321924207406,0.129489755443963
"48",1990,"TANNER","W166",82.5,0.156345925638642,0.000702913317676864,0.0265125124738653,0.104381401189866,0.208310450087418
"49",1990,"TANNER","W166",87.5,0.283509712324124,0.00124013761276001,0.0352155876389989,0.214487160551686,0.352532264096561
"50",1990,"TANNER","W166",92.5,0.37656897381227,0.00158718199210365,0.0398394527083851,0.298483646503836,0.454654301120705
"51",1990,"TANNER","W166",97.5,0.418960115124633,0.00226706581562949,0.0476137145749991,0.325637234557635,0.512282995691632
"52",1990,"TANNER","W166",102.5,0.435380515476191,0.00266219423700906,0.0515964556632436,0.334251462376234,0.536509568576148
"53",1990,"TANNER","W166",107.5,0.511351524953403,0.00326852084564388,0.0571709790509475,0.399296406013546,0.62340664389326
"54",1990,"TANNER","W166",112.5,0.586733212829703,0.00352768446517164,0.0593943134076962,0.470320358550618,0.703146067108787
"55",1990,"TANNER","W166",117.5,0.691693883133884,0.00345977719538471,0.0588198707528732,0.576406936458253,0.806980829809516
"56",1990,"TANNER","W166",122.5,0.773510907510309,0.00275597744308192,0.0524974041556525,0.670615995365231,0.876405819655388
"57",1990,"TANNER","W166",127.5,0.823779821918755,0.00224583039520009,0.0473901930276729,0.730895043584517,0.916664600252994
"58",1990,"TANNER","W166",132.5,0.867945155321254,0.00172775841115656,0.0415663134179176,0.786475181022136,0.949415129620373
"59",1990,"TANNER","W166",137.5,0.927012181183481,0.000982029197841818,0.0313373450988085,0.865590984789817,0.988433377577146
"60",1990,"TANNER","W166",142.5,0.967502398047209,0.000334254680324915,0.0182826332984315,0.931668436782283,1.00333635931213
"61",1990,"TANNER","W166",147.5,0.986227778264968,0.000123990934599618,0.0111351216697267,0.964402939792303,1.00805261673763
"62",1990,"TANNER","W166",152.5,0.996080708317298,2.05199618167731e-05,0.00452989644658386,0.987202111281994,1.0049593053526
"63",1990,"TANNER","W166",157.5,0.999108194052581,1.48446239213418e-06,0.00121838515754838,0.996720159143786,1.00149622896138
"64",1990,"TANNER","W166",162.5,0.999568421470517,7.02257133741508e-07,0.000838007836324642,0.997925926111321,1.00121091682971
"65",1990,"TANNER","W166",167.5,0.999809653127864,2.59584239662383e-07,0.00050949410169538,0.998811044688541,1.00080826156719
"66",1990,"TANNER","W166",172.5,0.995076249868294,0.00474295032371723,0.0688690810430721,0.860092851023873,1.13005964871272
"67",1991,"TANNER","E166",7.5,4.53828930643633e-05,4.50268609365997e-08,0.00021219533674565,-0.00037051996695711,0.000461285753085837
"68",1991,"TANNER","E166",17.5,0.000590837592555527,2.35516859413589e-06,0.00153465585527697,-0.00241708788378733,0.00359876306889839
"69",1991,"TANNER","E166",22.5,0.00095619711259371,4.41097836251472e-06,0.00210023293053764,-0.00316025943126006,0.00507265365644748
"70",1991,"TANNER","E166",27.5,0.00154971129366521,8.88632174597321e-06,0.00298099341595603,-0.00429303580160861,0.00739245838893903
"71",1991,"TANNER","E166",32.5,0.00171051266039214,6.33081510014921e-06,0.00251611110647944,-0.00322106510830757,0.00664209042909185
"72",1991,"TANNER","E166",37.5,0.00242124307717769,6.41114920096635e-06,0.00253202472360883,-0.00254152538109561,0.00738401153545098
"73",1991,"TANNER","E166",42.5,0.00320609392680924,8.51907010359543e-06,0.00291874461088932,-0.00251464551053383,0.0089268333641523
"74",1991,"TANNER","E166",47.5,0.00327386947250563,8.34297597642127e-06,0.00288842101786102,-0.00238743572250196,0.00893517466751322
"75",1991,"TANNER","E166",52.5,0.00593477643654358,1.35841008062782e-05,0.00368566151542409,-0.00128912013368764,0.0131586730067748
"76",1991,"TANNER","E166",57.5,0.0076546129542345,1.86715183918263e-05,0.00432105524054325,-0.000814655317230262,0.0161238812256993
"77",1991,"TANNER","E166",62.5,0.00978476760962581,1.99409603583384e-05,0.00446553024380514,0.00103232833176773,0.0185372068874839
"78",1991,"TANNER","E166",67.5,0.0108727082613781,1.77603498995625e-05,0.00421430301468256,0.00261267435260026,0.0191327421701559
"79",1991,"TANNER","E166",72.5,0.00817046769374182,5.33449157351128e-06,0.00230965182949969,0.00364355010792242,0.0126973852795612
"80",1991,"TANNER","E166",77.5,0.0167647359672662,1.83209418534362e-05,0.00428029693519459,0.00837535397428478,0.0251541179602476
"81",1991,"TANNER","E166",82.5,0.0347890605111734,5.67837327369028e-05,0.00753549817443431,0.0200194840892822,0.0495586369330647
"82",1991,"TANNER","E166",87.5,0.0696841512416818,0.000166055839005882,0.0128862655182129,0.0444270708259846,0.094941231657379
"83",1991,"TANNER","E166",92.5,0.120280110635509,0.000444951298684283,0.0210938687462562,0.0789361278928474,0.161624093378172
"84",1991,"TANNER","E166",97.5,0.141952024013398,0.000568981370474086,0.0238533303853799,0.0951994964580533,0.188704551568742
"85",1991,"TANNER","E166",102.5,0.130275907907657,0.000330911860942154,0.018190982957008,0.0946215813119209,0.165930234503392
"86",1991,"TANNER","E166",107.5,0.193881349379174,0.00059711010245209,0.0244358364385607,0.145987109959595,0.241775588798753
"87",1991,"TANNER","E166",112.5,0.267947507182426,0.00108148702255925,0.0328859699957178,0.203491005990819,0.332404008374033
"88",1991,"TANNER","E166",117.5,0.338485791279749,0.00147030325715695,0.0383445336020267,0.263330505419777,0.413641077139721
"89",1991,"TANNER","E166",122.5,0.468285585675836,0.0018303067803958,0.0427820848065613,0.384432699454976,0.552138471896696
"90",1991,"TANNER","E166",127.5,0.598220254762368,0.00174467396339511,0.0417692945043978,0.516352437533748,0.680088071990988
"91",1991,"TANNER","E166",132.5,0.684757632412379,0.00171577709285852,0.0414219397524853,0.603570630497508,0.76594463432725
"92",1991,"TANNER","E166",137.5,0.79437013766832,0.00120842729776975,0.0347624409063827,0.72623575349181,0.86250452184483
"93",1991,"TANNER","E166",142.5,0.858733647995804,0.00122477409044005,0.0349967725717679,0.790139973755139,0.927327322236469
"94",1991,"TANNER","E166",147.5,0.948370614097247,0.000531474230689169,0.0230537248766695,0.903185313338975,0.993555914855519
